pdb,arbitrary_family_num
KNZIFZGY_BasicBeNTF2_designed_0000.pdb,4
IPTTCWAX_BasicBeNTF2_designed_0000.pdb,5
CDDPYJTE_BasicBeNTF2_designed_0000.pdb,5
UEOGRQJP_BasicBeNTF2_designed_0000.pdb,5
THNXRBVG_BasicBeNTF2_designed_0000.pdb,5
OWRUCYZN_BasicBeNTF2_designed_0000.pdb,5
POPNHAUA_BasicBeNTF2_designed_0000.pdb,5
HKIUHNKK_BasicBeNTF2_designed_0000.pdb,5
NMSQOFEV_BasicBeNTF2_designed_0000.pdb,5
YZGHFXHK_BasicBeNTF2_designed_0000.pdb,5
KKAQEXCX_BasicBeNTF2_designed_0000.pdb,5
UOSIKNCR_BasicBeNTF2_designed_0000.pdb,5
CZRKTMKA_BasicBeNTF2_designed_0000.pdb,5
ECSTGXBX_BasicBeNTF2_designed_0000.pdb,5
NFGTXBBW_BasicBeNTF2_designed_0000.pdb,5
PSLNGGSL_BasicBeNTF2_designed_0000.pdb,5
IHTSGPGN_BasicBeNTF2_designed_0000.pdb,5
ITXTIMIE_BasicBeNTF2_designed_0000.pdb,5
AEYIBNMP_BasicBeNTF2_designed_0000.pdb,5
DLJPWHFL_BasicBeNTF2_designed_0000.pdb,5
VESTIYRP_BasicBeNTF2_designed_0000.pdb,5
HCQOWMLJ_BasicBeNTF2_designed_0000.pdb,6
KEQPJTOT_BasicBeNTF2_designed_0000.pdb,6
AIHNKNGI_BasicBeNTF2_designed_0000.pdb,6
KKPEFCWL_BasicBeNTF2_designed_0000.pdb,6
UOUYOQPB_BasicBeNTF2_designed_0000.pdb,6
SDINMGAR_BasicBeNTF2_designed_0000.pdb,6
QSXFRMBK_BasicBeNTF2_designed_0000.pdb,6
MFTDQIMQ_BasicBeNTF2_designed_0000.pdb,6
YDITFNBP_BasicBeNTF2_designed_0000.pdb,6
NXJQFBPJ_BasicBeNTF2_designed_0000.pdb,6
KLYBUZTJ_BasicBeNTF2_designed_0000.pdb,6
DVQZTBPH_BasicBeNTF2_designed_0000.pdb,6
WFHYGUDD_BasicBeNTF2_designed_0000.pdb,6
SMBIDSIA_BasicBeNTF2_designed_0000.pdb,6
RFSMDHAU_BasicBeNTF2_designed_0000.pdb,6
SASEXTON_BasicBeNTF2_designed_0000.pdb,6
JGLKXKQU_BasicBeNTF2_designed_0000.pdb,6
IGSRXQYA_BasicBeNTF2_designed_0000.pdb,6
WDJXPFPD_BasicBeNTF2_designed_0000.pdb,6
NFLGUOKA_BasicBeNTF2_designed_0000.pdb,6
LMVTIDZW_BasicBeNTF2_designed_0000.pdb,7
QUFBXUTB_BasicBeNTF2_designed_0000.pdb,7
ROLZRRCE_BasicBeNTF2_designed_0000.pdb,7
TVZAIZDG_BasicBeNTF2_designed_0000.pdb,7
HFGLCNZV_BasicBeNTF2_designed_0000.pdb,7
AUMZUAEI_BasicBeNTF2_designed_0000.pdb,7
WVGSDPLI_BasicBeNTF2_designed_0000.pdb,7
SSXHLUNK_BasicBeNTF2_designed_0000.pdb,7
HKRBVDSV_BasicBeNTF2_designed_0000.pdb,7
NJHNDENF_BasicBeNTF2_designed_0000.pdb,7
ZKOVDIHB_BasicBeNTF2_designed_0000.pdb,7
NKWWEMTA_BasicBeNTF2_designed_0000.pdb,7
DADXSTYL_BasicBeNTF2_designed_0000.pdb,7
IOOAVZWX_BasicBeNTF2_designed_0000.pdb,7
RDIKDRDX_BasicBeNTF2_designed_0000.pdb,7
PYTTWYXB_BasicBeNTF2_designed_0000.pdb,7
UQKANJBF_BasicBeNTF2_designed_0000.pdb,7
AACUDZYW_BasicBeNTF2_designed_0000.pdb,7
QTZYFIFM_BasicBeNTF2_designed_0000.pdb,7
MUVQBLDT_BasicBeNTF2_designed_0000.pdb,7
AACZQVMB_BasicBeNTF2_designed_0000.pdb,8
VWFVCGDJ_BasicBeNTF2_designed_0000.pdb,8
OSQUVMKR_BasicBeNTF2_designed_0000.pdb,8
YOMQSXIN_BasicBeNTF2_designed_0000.pdb,8
UGLZXZEZ_BasicBeNTF2_designed_0000.pdb,8
WOBGTTTA_BasicBeNTF2_designed_0000.pdb,8
URYARJJR_BasicBeNTF2_designed_0000.pdb,8
WNBHEHVP_BasicBeNTF2_designed_0000.pdb,8
CMTDCOSY_BasicBeNTF2_designed_0000.pdb,8
FUSCPAFQ_BasicBeNTF2_designed_0000.pdb,8
YDMTZXIQ_BasicBeNTF2_designed_0000.pdb,8
SXKVAAQI_BasicBeNTF2_designed_0000.pdb,8
GNREQHNU_BasicBeNTF2_designed_0000.pdb,8
HIKSZUVG_BasicBeNTF2_designed_0000.pdb,8
OWSETZEX_BasicBeNTF2_designed_0000.pdb,8
UGMOSINA_BasicBeNTF2_designed_0000.pdb,8
RLAKZPQG_BasicBeNTF2_designed_0000.pdb,8
QCPPFEZF_BasicBeNTF2_designed_0000.pdb,8
BGQCOAYY_BasicBeNTF2_designed_0000.pdb,8
BMEPMJLD_BasicBeNTF2_designed_0000.pdb,8
UIULIXGU_BasicBeNTF2_designed_0000.pdb,9
VZQFZNFW_BasicBeNTF2_designed_0000.pdb,9
GVEZMOUG_BasicBeNTF2_designed_0000.pdb,9
CFFBUAQV_BasicBeNTF2_designed_0000.pdb,9
GVALBCLO_BasicBeNTF2_designed_0000.pdb,9
MAHSXMXN_BasicBeNTF2_designed_0000.pdb,9
EUSMULSJ_BasicBeNTF2_designed_0000.pdb,9
WUYETZHU_BasicBeNTF2_designed_0000.pdb,9
SDMMVJBO_BasicBeNTF2_designed_0000.pdb,9
YMPPEDBJ_BasicBeNTF2_designed_0000.pdb,9
HZWDZOQA_BasicBeNTF2_designed_0000.pdb,9
UNPXTIEF_BasicBeNTF2_designed_0000.pdb,9
PUWXSUDG_BasicBeNTF2_designed_0000.pdb,9
AGWUEQBO_BasicBeNTF2_designed_0000.pdb,9
VNAXEYKO_BasicBeNTF2_designed_0000.pdb,9
LENNHLUF_BasicBeNTF2_designed_0000.pdb,9
EQLXWNAF_BasicBeNTF2_designed_0000.pdb,9
YXODBZRM_BasicBeNTF2_designed_0000.pdb,9
WHALQYCT_BasicBeNTF2_designed_0000.pdb,9
CWGVDJZT_BasicBeNTF2_designed_0000.pdb,9
JIOPOPNJ_BasicBeNTF2_designed_0000.pdb,11
GAWVTYIY_BasicBeNTF2_designed_0000.pdb,11
GCVOJKLK_BasicBeNTF2_designed_0000.pdb,11
RALZTEBN_BasicBeNTF2_designed_0000.pdb,11
YKXJEOKN_BasicBeNTF2_designed_0000.pdb,11
AVLSSCNF_BasicBeNTF2_designed_0000.pdb,11
AADOHODF_BasicBeNTF2_designed_0000.pdb,11
MIGALWCW_BasicBeNTF2_designed_0000.pdb,11
JWOWFXVE_BasicBeNTF2_designed_0000.pdb,11
CCOOYCEM_BasicBeNTF2_designed_0000.pdb,11
AAXUZCNS_BasicBeNTF2_designed_0000.pdb,11
KGSIXFFT_BasicBeNTF2_designed_0000.pdb,11
QOYAHIKX_BasicBeNTF2_designed_0000.pdb,11
AVZCTMLD_BasicBeNTF2_designed_0000.pdb,11
GCMSLHPT_BasicBeNTF2_designed_0000.pdb,11
CTHSHVXM_BasicBeNTF2_designed_0000.pdb,11
MNEIVGUL_BasicBeNTF2_designed_0000.pdb,11
JHMCDERB_BasicBeNTF2_designed_0000.pdb,11
PXOKKKTS_BasicBeNTF2_designed_0000.pdb,11
KHQPBMAH_BasicBeNTF2_designed_0000.pdb,11
RJUXJPMJ_BasicBeNTF2_designed_0000.pdb,12
TJEFASCX_BasicBeNTF2_designed_0000.pdb,12
YKRYZUCB_BasicBeNTF2_designed_0000.pdb,12
OTPZVGNZ_BasicBeNTF2_designed_0000.pdb,12
PFKSXLUK_BasicBeNTF2_designed_0000.pdb,12
HFSNYSJI_BasicBeNTF2_designed_0000.pdb,12
YXWYFFRP_BasicBeNTF2_designed_0000.pdb,12
CJAGUVFM_BasicBeNTF2_designed_0000.pdb,12
KZFUNPTN_BasicBeNTF2_designed_0000.pdb,12
OXSBWXDO_BasicBeNTF2_designed_0000.pdb,12
DIZBCFCA_BasicBeNTF2_designed_0000.pdb,12
OWWYSNHK_BasicBeNTF2_designed_0000.pdb,12
STOYUQYC_BasicBeNTF2_designed_0000.pdb,12
XVXQCMEF_BasicBeNTF2_designed_0000.pdb,12
MWHAVWSD_BasicBeNTF2_designed_0000.pdb,12
AADPKXJY_BasicBeNTF2_designed_0000.pdb,12
QDNGNCWB_BasicBeNTF2_designed_0000.pdb,12
GIHSGPCS_BasicBeNTF2_designed_0000.pdb,12
DHKKOQTV_BasicBeNTF2_designed_0000.pdb,12
NFDMLLDP_BasicBeNTF2_designed_0000.pdb,12
CWPNNMEE_BasicBeNTF2_designed_0000.pdb,13
UOPLTMRI_BasicBeNTF2_designed_0000.pdb,13
EECLBNQQ_BasicBeNTF2_designed_0000.pdb,13
GLGIAIOS_BasicBeNTF2_designed_0000.pdb,13
SZLTLFUL_BasicBeNTF2_designed_0000.pdb,13
QFJGGXDG_BasicBeNTF2_designed_0000.pdb,13
SJYCERXR_BasicBeNTF2_designed_0000.pdb,13
QWUQBQNF_BasicBeNTF2_designed_0000.pdb,13
TEYCPTIV_BasicBeNTF2_designed_0000.pdb,13
NBOBIGAU_BasicBeNTF2_designed_0000.pdb,13
EQJOMDHW_BasicBeNTF2_designed_0000.pdb,13
NUCUTWFZ_BasicBeNTF2_designed_0000.pdb,13
HYQQSFXE_BasicBeNTF2_designed_0000.pdb,13
WCCAJUUI_BasicBeNTF2_designed_0000.pdb,13
HHBGAMSK_BasicBeNTF2_designed_0000.pdb,13
LMFBVDSE_BasicBeNTF2_designed_0000.pdb,13
FXWMEBSC_BasicBeNTF2_designed_0000.pdb,13
UYJOXKZM_BasicBeNTF2_designed_0000.pdb,13
LTKNHGAO_BasicBeNTF2_designed_0000.pdb,13
IJVERBYI_BasicBeNTF2_designed_0000.pdb,13
OFWKRQEY_BasicBeNTF2_designed_0000.pdb,14
AAFRCCOW_BasicBeNTF2_designed_0000.pdb,14
DZIQWFBA_BasicBeNTF2_designed_0000.pdb,14
KNRIEPSS_BasicBeNTF2_designed_0000.pdb,14
GDJKSPEN_BasicBeNTF2_designed_0000.pdb,14
SJYJAIRM_BasicBeNTF2_designed_0000.pdb,14
LVDDXEIQ_BasicBeNTF2_designed_0000.pdb,14
AAZKOBFT_BasicBeNTF2_designed_0000.pdb,14
UXWHKGIX_BasicBeNTF2_designed_0000.pdb,14
FKRZYCCB_BasicBeNTF2_designed_0000.pdb,14
GFYSWVMZ_BasicBeNTF2_designed_0000.pdb,14
EXDHNWSW_BasicBeNTF2_designed_0000.pdb,14
CTKSQGNM_BasicBeNTF2_designed_0000.pdb,14
KQNJPBON_BasicBeNTF2_designed_0000.pdb,14
XANCGEND_BasicBeNTF2_designed_0000.pdb,14
DKJENIGE_BasicBeNTF2_designed_0000.pdb,14
LNZXBCLZ_BasicBeNTF2_designed_0000.pdb,14
DLBXGXMU_BasicBeNTF2_designed_0000.pdb,14
ZVOYGRYO_BasicBeNTF2_designed_0000.pdb,14
ZMUXTJYT_BasicBeNTF2_designed_0000.pdb,14
GWYDZSWE_BasicBeNTF2_designed_0000.pdb,15
XMTFIYVO_BasicBeNTF2_designed_0000.pdb,15
XMPBQCRV_BasicBeNTF2_designed_0000.pdb,15
OVVBRLBR_BasicBeNTF2_designed_0000.pdb,15
WZDBVDYS_BasicBeNTF2_designed_0000.pdb,15
WSVHVYGF_BasicBeNTF2_designed_0000.pdb,15
MINTPUHI_BasicBeNTF2_designed_0000.pdb,15
KNIQCAZP_BasicBeNTF2_designed_0000.pdb,15
TDRQLNLJ_BasicBeNTF2_designed_0000.pdb,15
HWTDSLYN_BasicBeNTF2_designed_0000.pdb,15
WBNBANTK_BasicBeNTF2_designed_0000.pdb,15
OXBAMFSS_BasicBeNTF2_designed_0000.pdb,15
XDPLLCOH_BasicBeNTF2_designed_0000.pdb,15
LRWDRMBA_BasicBeNTF2_designed_0000.pdb,15
QEFTBEHR_BasicBeNTF2_designed_0000.pdb,15
VIFROOPK_BasicBeNTF2_designed_0000.pdb,15
COLQXMRO_BasicBeNTF2_designed_0000.pdb,15
BNHJBWXU_BasicBeNTF2_designed_0000.pdb,15
VXICGFAM_BasicBeNTF2_designed_0000.pdb,15
GFPYWVPY_BasicBeNTF2_designed_0000.pdb,15
ZINNLBBY_BasicBeNTF2_designed_0000.pdb,16
ZYQSANUR_BasicBeNTF2_designed_0000.pdb,16
BTZKFMLX_BasicBeNTF2_designed_0000.pdb,16
LDVQGAJC_BasicBeNTF2_designed_0000.pdb,16
TDWPEAXW_BasicBeNTF2_designed_0000.pdb,16
NBEVVOLW_BasicBeNTF2_designed_0000.pdb,16
KEJMHDVZ_BasicBeNTF2_designed_0000.pdb,16
KEEUKKMG_BasicBeNTF2_designed_0000.pdb,16
SUTUBIED_BasicBeNTF2_designed_0000.pdb,16
VQVLMDJN_BasicBeNTF2_designed_0000.pdb,16
QFPPMXZN_BasicBeNTF2_designed_0000.pdb,16
SKJCFAWQ_BasicBeNTF2_designed_0000.pdb,16
AMAFJFAM_BasicBeNTF2_designed_0000.pdb,16
AYTBCVDY_BasicBeNTF2_designed_0000.pdb,16
PPLOIHGG_BasicBeNTF2_designed_0000.pdb,16
PVTWCFXS_BasicBeNTF2_designed_0000.pdb,16
AAFZGJRH_BasicBeNTF2_designed_0000.pdb,16
LFJTYVAA_BasicBeNTF2_designed_0000.pdb,16
WKKKBAAL_BasicBeNTF2_designed_0000.pdb,16
WJXCDHUC_BasicBeNTF2_designed_0000.pdb,16
QMZOADIP_BasicBeNTF2_designed_0000.pdb,17
IBDEPHUQ_BasicBeNTF2_designed_0000.pdb,17
ZQNWYBUJ_BasicBeNTF2_designed_0000.pdb,17
HSSNRVSY_BasicBeNTF2_designed_0000.pdb,17
KVJXDIJJ_BasicBeNTF2_designed_0000.pdb,17
YSTOLBAP_BasicBeNTF2_designed_0000.pdb,17
RZSFXFUE_BasicBeNTF2_designed_0000.pdb,17
ZJCLDFUW_BasicBeNTF2_designed_0000.pdb,17
HJGDYIFU_BasicBeNTF2_designed_0000.pdb,17
UXGNNQFQ_BasicBeNTF2_designed_0000.pdb,17
VIJTJJVJ_BasicBeNTF2_designed_0000.pdb,17
AAGAGSMG_BasicBeNTF2_designed_0000.pdb,17
QQANVMCG_BasicBeNTF2_designed_0000.pdb,17
SLIIPDTZ_BasicBeNTF2_designed_0000.pdb,17
FDANQXFK_BasicBeNTF2_designed_0000.pdb,17
JHJMKWVT_BasicBeNTF2_designed_0000.pdb,17
IKXLMOBD_BasicBeNTF2_designed_0000.pdb,17
ZRUQLNOB_BasicBeNTF2_designed_0000.pdb,17
JGMZSPJU_BasicBeNTF2_designed_0000.pdb,17
UWQSDWSA_BasicBeNTF2_designed_0000.pdb,17
IWWVJVMK_BasicBeNTF2_designed_0000.pdb,18
QSLYLVMW_BasicBeNTF2_designed_0000.pdb,18
KKWYAFOH_BasicBeNTF2_designed_0000.pdb,18
GHZESBLX_BasicBeNTF2_designed_0000.pdb,18
VCSDPTKO_BasicBeNTF2_designed_0000.pdb,18
PHOBWWLH_BasicBeNTF2_designed_0000.pdb,18
WWZSQAFT_BasicBeNTF2_designed_0000.pdb,18
LYBUUJTF_BasicBeNTF2_designed_0000.pdb,18
ZXAUDCGH_BasicBeNTF2_designed_0000.pdb,18
JBCBXNEM_BasicBeNTF2_designed_0000.pdb,18
WLKCLIST_BasicBeNTF2_designed_0000.pdb,18
CUKMZGNP_BasicBeNTF2_designed_0000.pdb,18
HPZFADOL_BasicBeNTF2_designed_0000.pdb,18
TACMDPXX_BasicBeNTF2_designed_0000.pdb,18
KXTLRXXN_BasicBeNTF2_designed_0000.pdb,18
BRLSYBLD_BasicBeNTF2_designed_0000.pdb,18
QTRPWFPF_BasicBeNTF2_designed_0000.pdb,18
QQJPQKOG_BasicBeNTF2_designed_0000.pdb,18
ZRGCVLFS_BasicBeNTF2_designed_0000.pdb,18
DWFKKVBD_BasicBeNTF2_designed_0000.pdb,18
LQPSIIDY_BasicBeNTF2_designed_0000.pdb,19
BGZZGQCB_BasicBeNTF2_designed_0000.pdb,19
NSAXIFUH_BasicBeNTF2_designed_0000.pdb,19
RIZYYNRK_BasicBeNTF2_designed_0000.pdb,19
VXVNCBRO_BasicBeNTF2_designed_0000.pdb,19
YUYZGCVZ_BasicBeNTF2_designed_0000.pdb,19
ZICQETPC_BasicBeNTF2_designed_0000.pdb,19
QHZEKWMH_BasicBeNTF2_designed_0000.pdb,19
HWSMVHZG_BasicBeNTF2_designed_0000.pdb,19
HSOZVCBY_BasicBeNTF2_designed_0000.pdb,19
EJTDEZVI_BasicBeNTF2_designed_0000.pdb,19
GVBWAAEW_BasicBeNTF2_designed_0000.pdb,19
ZKGBMMAC_BasicBeNTF2_designed_0000.pdb,19
KTTFMARD_BasicBeNTF2_designed_0000.pdb,19
AXHXSCTQ_BasicBeNTF2_designed_0000.pdb,19
AAHFRTBA_BasicBeNTF2_designed_0000.pdb,19
ZUSRMHKV_BasicBeNTF2_designed_0000.pdb,19
HQOAJLHM_BasicBeNTF2_designed_0000.pdb,19
PTXVZIEZ_BasicBeNTF2_designed_0000.pdb,19
GHDUTBOW_BasicBeNTF2_designed_0000.pdb,19
HGTVLFRT_BasicBeNTF2_designed_0000.pdb,20
JZGNUVRY_BasicBeNTF2_designed_0000.pdb,20
KBRHWWAZ_BasicBeNTF2_designed_0000.pdb,20
CTVUCLUL_BasicBeNTF2_designed_0000.pdb,20
ROKGSVEE_BasicBeNTF2_designed_0000.pdb,20
RYVOYOHI_BasicBeNTF2_designed_0000.pdb,20
JWXBYLRP_BasicBeNTF2_designed_0000.pdb,20
YOWUWDIF_BasicBeNTF2_designed_0000.pdb,20
BOPISMJT_BasicBeNTF2_designed_0000.pdb,20
QVSNDFHY_BasicBeNTF2_designed_0000.pdb,20
GASASTXB_BasicBeNTF2_designed_0000.pdb,20
DQNJLTNR_BasicBeNTF2_designed_0000.pdb,20
QOWYHUGM_BasicBeNTF2_designed_0000.pdb,20
ZLDHBPNQ_BasicBeNTF2_designed_0000.pdb,20
VSWNVKBJ_BasicBeNTF2_designed_0000.pdb,20
EURKRQGJ_BasicBeNTF2_designed_0000.pdb,20
HQTUJHDC_BasicBeNTF2_designed_0000.pdb,20
EYJRYFAK_BasicBeNTF2_designed_0000.pdb,20
EVGPBGJJ_BasicBeNTF2_designed_0000.pdb,20
RWRVONPF_BasicBeNTF2_designed_0000.pdb,20
JRFIRJTW_BasicBeNTF2_designed_0000.pdb,22
EYGSMWVS_BasicBeNTF2_designed_0000.pdb,22
TLYQKVWS_BasicBeNTF2_designed_0000.pdb,22
JYTPPHNX_BasicBeNTF2_designed_0000.pdb,22
CVSVXLFO_BasicBeNTF2_designed_0000.pdb,22
DSWDXDPF_BasicBeNTF2_designed_0000.pdb,22
PSVZLYAF_BasicBeNTF2_designed_0000.pdb,22
GADQTKIP_BasicBeNTF2_designed_0000.pdb,22
PZZUTFZL_BasicBeNTF2_designed_0000.pdb,22
CFJKTWBP_BasicBeNTF2_designed_0000.pdb,22
IVGFUEJY_BasicBeNTF2_designed_0000.pdb,22
SLBZCULJ_BasicBeNTF2_designed_0000.pdb,22
AALLXJNI_BasicBeNTF2_designed_0000.pdb,22
PJEJHKVV_BasicBeNTF2_designed_0000.pdb,22
HZKPHJUG_BasicBeNTF2_designed_0000.pdb,22
QJGCBERS_BasicBeNTF2_designed_0000.pdb,22
PXSITELW_BasicBeNTF2_designed_0000.pdb,22
KGVREYTF_BasicBeNTF2_designed_0000.pdb,22
GYECTDTH_BasicBeNTF2_designed_0000.pdb,22
XOIYLRND_BasicBeNTF2_designed_0000.pdb,22
AFEKJVNR_BasicBeNTF2_designed_0000.pdb,24
XCYAPGAL_BasicBeNTF2_designed_0000.pdb,24
FTIVNUBI_BasicBeNTF2_designed_0000.pdb,24
UXIPXGOR_BasicBeNTF2_designed_0000.pdb,24
XCTCJXVY_BasicBeNTF2_designed_0000.pdb,24
JYDQGHXQ_BasicBeNTF2_designed_0000.pdb,24
QYAJRTYL_BasicBeNTF2_designed_0000.pdb,24
ABUEWPYO_BasicBeNTF2_designed_0000.pdb,24
GJBWNWBG_BasicBeNTF2_designed_0000.pdb,24
XCUJGHJV_BasicBeNTF2_designed_0000.pdb,24
XUBOAGSU_BasicBeNTF2_designed_0000.pdb,24
SEQFXPBG_BasicBeNTF2_designed_0000.pdb,24
ZZBKNWOY_BasicBeNTF2_designed_0000.pdb,24
HSJJCYFR_BasicBeNTF2_designed_0000.pdb,24
LZVFVXGL_BasicBeNTF2_designed_0000.pdb,24
PCKZBPKA_BasicBeNTF2_designed_0000.pdb,24
QLYUMBGS_BasicBeNTF2_designed_0000.pdb,24
EJIHMOBL_BasicBeNTF2_designed_0000.pdb,24
CRVIPCWT_BasicBeNTF2_designed_0000.pdb,24
PDVECSRK_BasicBeNTF2_designed_0000.pdb,24
JWOFTWCQ_BasicBeNTF2_designed_0000.pdb,25
WVYBQAVQ_BasicBeNTF2_designed_0000.pdb,25
SHUGCZUX_BasicBeNTF2_designed_0000.pdb,25
AAIEXLRQ_BasicBeNTF2_designed_0000.pdb,25
LNOHSOSZ_BasicBeNTF2_designed_0000.pdb,25
GZABDNDP_BasicBeNTF2_designed_0000.pdb,25
KXDMNZOW_BasicBeNTF2_designed_0000.pdb,25
PVEDRJXK_BasicBeNTF2_designed_0000.pdb,25
NTWHOSNR_BasicBeNTF2_designed_0000.pdb,25
CZVCNDNG_BasicBeNTF2_designed_0000.pdb,25
MEMTBGKA_BasicBeNTF2_designed_0000.pdb,25
